date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,0.006969786215636893,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-05-01,Monthly,0.007902363859145334,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.007600664522491789,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.09196926954730582,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.004037147899618805,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.012958838300656398,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,2.532226181055271e-4,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,-0.13015812781480154,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.011363099446392392,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,-0.13619845666053707,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.017210451891478778,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,-0.04301709213749531,Building Mat. and Garden Equip. and Supplies Dealers,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
