date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,0.0500159917780009,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-05-01,Monthly,0.0816628190057734,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.04510081703957599,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.04315535829360236,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.042827118393237384,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.023824443778189486,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.02832167061725695,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.022831839465605408,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.030566388081887236,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.02234361119169892,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.031112872487101633,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.07399999621333002,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.029703854293889293,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.06077849115116104,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.02122370214313407,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.034239905652245294,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.01821251219023264,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.010744194949213933,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.023301952487503403,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,-0.006941094181530623,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-07-01,Monthly,0.035305845850602445,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-07-01,Monthly,0.08164824111075486,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.03360629518612394,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.20358455282282897,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-05-01,Monthly,0.01840337994879937,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-05-01,Monthly,0.07124473468423613,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-04-01,Monthly,0.011529057546173838,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-04-01,Monthly,0.064270695641927,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-03-01,Monthly,0.0024408077263328165,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-03-01,Monthly,-0.1125583741429721,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-02-01,Monthly,0.020319611363835016,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-02-01,Monthly,0.05579460491105137,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-01-01,Monthly,0.018507883086416193,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-01-01,Monthly,0.03307395244592189,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-12-01,Monthly,0.01959956374335044,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-12-01,Monthly,0.058151064604845724,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-11-01,Monthly,0.005621451529204939,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-11-01,Monthly,-0.037858439097348574,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-10-01,Monthly,0.009419877246018116,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-10-01,Monthly,0.004256041822509419,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-09-01,Monthly,0.017862308454401104,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-09-01,Monthly,0.07996880715418135,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-08-01,Monthly,0.012594831149844795,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-08-01,Monthly,0.14269009128781676,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-07-01,Monthly,0.0011018899696481437,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-07-01,Monthly,0.061990492435415656,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-06-01,Monthly,-0.016695685576938863,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-06-01,Monthly,-4.7951461032746945e-4,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-05-01,Monthly,-0.0216151849332622,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-05-01,Monthly,-0.057763432770787694,Clothing and Clothing Access. Stores,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
