date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,industry_code,viz_type_text
2025-05-01,Monthly,-0.04850133634697854,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2025-04-01,Monthly,-0.04978298862693594,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2025-03-01,Monthly,-0.04313816016223256,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2025-02-01,Monthly,-0.06773657002062972,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2025-01-01,Monthly,-0.06674949893700315,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-12-01,Monthly,-0.06908440262096394,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-11-01,Monthly,-0.05527354614098601,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-10-01,Monthly,-0.0663987681096994,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-09-01,Monthly,-0.0724019003702971,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-08-01,Monthly,-0.07457968208993888,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-07-01,Monthly,-0.06892061660351638,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-06-01,Monthly,-0.05176359433779717,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-05-01,Monthly,-0.06114786479091624,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-04-01,Monthly,-0.0738779996647081,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-03-01,Monthly,-0.09643959014277426,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-02-01,Monthly,-0.0816226142913526,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2024-01-01,Monthly,-0.0744542673820489,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2023-12-01,Monthly,-0.07596491085577572,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2023-11-01,Monthly,-0.09621156389703862,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2023-10-01,Monthly,-0.0975198640675871,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2023-09-01,Monthly,-0.09445872089239638,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2023-08-01,Monthly,-0.09026578929800788,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2023-07-01,Monthly,-0.09791838891846505,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2023-06-01,Monthly,-0.11497098838978781,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
2023-05-01,Monthly,-0.12102270761666829,Department Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,4522,Time series line
