date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,industry_code,viz_type_text
2025-05-01,Monthly,-0.02189961239518586,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2025-04-01,Monthly,-0.026920321728156726,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2025-03-01,Monthly,-0.038288066063448145,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2025-02-01,Monthly,-0.03031188286052851,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2025-01-01,Monthly,-0.014064322213571826,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-12-01,Monthly,-0.00945946809013043,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-11-01,Monthly,-0.04170006106823957,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-10-01,Monthly,-0.04938620458759613,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-09-01,Monthly,-0.03170843477828126,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-08-01,Monthly,-0.015266427025616388,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-07-01,Monthly,-0.005437611275559158,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-06-01,Monthly,-0.01310879402143339,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-05-01,Monthly,-0.025049554071927143,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-04-01,Monthly,-0.02932710544211803,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-03-01,Monthly,-0.04094395305810172,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-02-01,Monthly,-0.020714698311431762,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2024-01-01,Monthly,-0.011316204117252279,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2023-12-01,Monthly,-0.005523202802282208,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2023-11-01,Monthly,-0.020741283815612094,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2023-10-01,Monthly,-0.045261579834244725,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2023-09-01,Monthly,-0.06012435653986836,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2023-08-01,Monthly,-0.061853817486255104,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2023-07-01,Monthly,-0.06974324467628627,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2023-06-01,Monthly,-0.08959471466228297,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
2023-05-01,Monthly,-0.10738751877864931,Electronics and Appliance Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,443,Time series line
