date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,0.06153643679558344,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-05-01,Monthly,0.11669552058565742,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.05471879473083926,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.13318892255179995,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.04624454156882862,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.10800008326069581,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.03698578197759154,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,-0.010654347614558338,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.039136633777799336,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.01901538193626821,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.04088098747291909,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.038876567651274674,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.04361372984418196,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.08766847229406453,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.04480103833064645,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.0905504894786268,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.042981489467057266,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.07762241448569274,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.04433417839883728,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.037830102187739335,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-07-01,Monthly,0.04878284466822184,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-07-01,Monthly,0.04874270744484802,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.054794108877532034,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.043621382802223385,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-05-01,Monthly,0.0598717383591989,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-05-01,Monthly,0.019496292128904802,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-04-01,Monthly,0.06493290122222468,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-04-01,Monthly,0.019614613496156046,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-03-01,Monthly,0.05668258553270733,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-03-01,Monthly,-0.0131033772386104,Food Services and Drinking Places,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-02-01,Monthly,0.07358581558317723,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
