date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,0.036943622298281666,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.028851296582226366,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.018373694464613937,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.007803384274018536,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.010223553467816412,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.013333275810966402,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.017441487415287355,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.018937782631867295,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.015954954131247367,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.01549598691372811,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-07-01,Monthly,0.01774566754015298,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.02220351238723735,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-05-01,Monthly,0.02547579354378245,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-04-01,Monthly,0.030620953714181054,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-03-01,Monthly,0.023436280529918863,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-02-01,Monthly,0.04028245612891124,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-01-01,Monthly,0.051168390685270536,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-12-01,Monthly,0.0658136813744002,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-11-01,Monthly,0.05940715540587475,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-10-01,Monthly,0.051997381751859306,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-09-01,Monthly,0.060725533519921125,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-08-01,Monthly,0.06302897772289946,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-07-01,Monthly,0.06416795141276821,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-06-01,Monthly,0.05286127883147299,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-05-01,Monthly,0.05574012846266211,Food Services and Drinking Places,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
