date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,industry_code,viz_type_text
2025-05-01,Monthly,0.0014182248083424904,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2025-04-01,Monthly,0.0019224614731110368,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2025-03-01,Monthly,0.004641947318890338,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2025-02-01,Monthly,0.002749704729415825,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2025-01-01,Monthly,0.002746370818476359,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-12-01,Monthly,6.797797428176692e-4,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-11-01,Monthly,0.0017628802405154815,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-10-01,Monthly,-0.0021759009423263365,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-09-01,Monthly,-0.0037555516504531963,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-08-01,Monthly,-0.007562338309411221,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-07-01,Monthly,-0.004590964064550396,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-06-01,Monthly,-0.00622765674329943,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-05-01,Monthly,-1.6294364310890744e-4,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-04-01,Monthly,-0.006330082127702696,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-03-01,Monthly,-0.01346715370781689,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-02-01,Monthly,-0.01994854270321707,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2024-01-01,Monthly,-0.020688702706987267,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2023-12-01,Monthly,-0.01893539200938695,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2023-11-01,Monthly,-0.023937591395171893,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2023-10-01,Monthly,-0.02122276232012632,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2023-09-01,Monthly,-0.016458945587855506,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2023-08-01,Monthly,-0.015583629549344372,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2023-07-01,Monthly,-0.0178483493526362,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2023-06-01,Monthly,-0.022305102774930325,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
2023-05-01,Monthly,-0.02159020827383799,General Merchandise Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,452,Time series line
