date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,0.04194800308529434,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-05-01,Monthly,0.015386152531970435,Retail Trade,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.04521112751433787,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.05483388640574327,Retail Trade,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.04481267738062648,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.024636430832429317,Retail Trade,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.0442920218056598,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.0037477707528839796,Retail Trade,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.04414808637164732,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.027831304025825638,Retail Trade,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.038395291569060186,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.0931788385205546,Retail Trade,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.028034173975968708,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.08650521656674244,Retail Trade,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.019998850971550814,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.04522662163876978,Retail Trade,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.019968450538918086,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.07686925658483205,Retail Trade,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.019846340798607587,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.03179749081381955,Retail Trade,Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
