date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,0.03937974753942456,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-05-01,Monthly,0.016609760514593435,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.041965842697401744,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.04372864789919902,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.042849869320216095,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.03160360752377848,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.041098959118260746,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.035484358381132806,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.03729637642376771,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.019202925406382538,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.0328957168107212,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.043352908897770215,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.028980455683186745,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.05242654184396497,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.025851839490296902,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.04568507964794503,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.026966088360237395,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.05447763975883594,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.029962302012434366,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.0393809689679101,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-07-01,Monthly,0.03271199636709247,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-07-01,Monthly,0.05905680222838949,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.03120793245155795,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.043676852434708056,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-05-01,Monthly,0.031359596326310024,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-05-01,Monthly,0.046658937127018,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-04-01,Monthly,0.027428021102914313,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-04-01,Monthly,0.05425564382388955,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-03-01,Monthly,0.019638156187385142,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-03-01,Monthly,0.01335807281523449,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-02-01,Monthly,0.022966387361907776,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-02-01,Monthly,-0.00785793658053957,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-01-01,Monthly,0.028788559850612128,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-01-01,Monthly,-0.03125712006299578,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-12-01,Monthly,0.0353359642856339,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-12-01,Monthly,-0.0036336082130521787,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-11-01,Monthly,0.03223980796241569,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-11-01,Monthly,0.014333064218601069,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-10-01,Monthly,0.02963390239730823,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-10-01,Monthly,0.05946707923206466,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-09-01,Monthly,0.02736364279872287,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-09-01,Monthly,0.0905876320619039,"Retail Trade and Food Services, ex Auto",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
