date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,industry_code,viz_type_text
2025-05-01,Monthly,0.015299347672890503,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2025-04-01,Monthly,0.016378190499714822,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2025-03-01,Monthly,0.015045091629966775,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2025-02-01,Monthly,0.01180353637383987,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2025-01-01,Monthly,0.008430848612688871,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-12-01,Monthly,0.005549839505798533,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-11-01,Monthly,0.0031704937314532464,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-10-01,Monthly,4.5822013779465526e-4,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-09-01,Monthly,3.4660695346766524e-4,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-08-01,Monthly,0.0015145000639600337,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-07-01,Monthly,0.0021589901822261317,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-06-01,Monthly,-6.422837572988005e-4,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-05-01,Monthly,-0.0021102650630055266,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-04-01,Monthly,-0.005687635179344193,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-03-01,Monthly,-0.012450377558001416,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-02-01,Monthly,-0.008755503570653874,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2024-01-01,Monthly,-0.0030258358056883075,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2023-12-01,Monthly,0.0028791694247776536,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2023-11-01,Monthly,-0.001318732422644242,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2023-10-01,Monthly,-0.005699052581197035,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2023-09-01,Monthly,-0.008005530036286346,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2023-08-01,Monthly,-0.015556782950541267,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2023-07-01,Monthly,-0.021506396508158554,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2023-06-01,Monthly,-0.02651211442866101,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
2023-05-01,Monthly,-0.026111734627823346,"Retail Trade and Food Services, ex Auto",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44Y72,Time series line
