date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,0.025919476914229318,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.024985812686623882,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.020539282441539575,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.01575589340150163,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.013388789387494956,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.013626154201625903,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.014600732372334798,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.012556170532459129,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.009252158723314308,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.006390795003926882,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-07-01,Monthly,0.004318977468146838,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.0014559321703168093,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-05-01,Monthly,8.6622482650948e-4,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-04-01,Monthly,-0.0011974001607567193,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-03-01,Monthly,-0.005650115135184171,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-02-01,Monthly,1.3021461662780323e-4,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-01-01,Monthly,0.009188318968034626,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-12-01,Monthly,0.016345153085506697,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-11-01,Monthly,0.010729899007874133,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-10-01,Monthly,0.005642119298240618,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-09-01,Monthly,0.00934505066618955,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-08-01,Monthly,0.010528156481440934,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-07-01,Monthly,0.00993946693505269,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-06-01,Monthly,0.001941610274418415,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-05-01,Monthly,-0.002061097947190708,"Retail Trade and Food Services, ex Auto and Gas",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
