date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,0.01755458895288579,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-05-01,Monthly,0.1462900751890518,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,-0.0012637370091105697,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.06639497930920961,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,-0.009504950224617873,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.06456541038462982,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,-0.013370213054236616,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.005263905188887567,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,-0.011296192846051914,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.019395095277966973,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,-0.012788418318284403,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.107159807259861,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,-0.026429499016474067,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.016474055429263095,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,-0.02788419975394533,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.05251894085784433,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,-0.0434452146451898,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.025968365810873733,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,-0.04757464841740363,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.01602452084030041,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-07-01,Monthly,-0.04983274972056876,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-07-01,Monthly,-0.010519750937916387,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-06-01,Monthly,-0.04397077147436168,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.012539264927680649,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-05-01,Monthly,-0.043842853222702094,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-05-01,Monthly,-0.12391037258934039,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-04-01,Monthly,-0.03163646029433594,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-04-01,Monthly,-0.06706892457168727,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-03-01,Monthly,-0.02338962180949485,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-03-01,Monthly,-0.01430187614076143,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-02-01,Monthly,-0.0268619961556974,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-02-01,Monthly,0.00791763723932252,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-01-01,Monthly,-0.02645309273794279,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-01-01,Monthly,-0.025000739268333867,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-12-01,Monthly,-0.025505697008132728,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-12-01,Monthly,-0.06439099786016649,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-11-01,Monthly,-0.017282883618994032,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-11-01,Monthly,-0.0027152638323082825,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-10-01,Monthly,-0.020668378173380297,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-10-01,Monthly,-0.12771006320927802,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Month-over-month,Percent change;Annualized;Trail 3,Nation,US,Seasonally adjusted,Time series line
