date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,-0.006023049453608949,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-04-01,Monthly,-0.025738970153264467,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-03-01,Monthly,-0.03585498170675797,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-02-01,Monthly,-0.04113417526690163,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2025-01-01,Monthly,-0.03881124531545865,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-12-01,Monthly,-0.03894283604733676,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-11-01,Monthly,-0.05084251309426676,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-10-01,Monthly,-0.05194426734338823,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-09-01,Monthly,-0.06819136052210328,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-08-01,Monthly,-0.07386290568651648,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-07-01,Monthly,-0.07795314976795786,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-06-01,Monthly,-0.07349062907856485,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-05-01,Monthly,-0.07487406344785186,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-04-01,Monthly,-0.06282548930617227,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-03-01,Monthly,-0.054098780907919454,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-02-01,Monthly,-0.05701740181201701,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2024-01-01,Monthly,-0.05653831351873928,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-12-01,Monthly,-0.05604210265628321,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-11-01,Monthly,-0.049220732472775586,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-10-01,Monthly,-0.05427778736586664,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-09-01,Monthly,-0.03922332214961177,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-08-01,Monthly,-0.03136243855135349,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-07-01,Monthly,-0.02602924907108743,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-06-01,Monthly,-0.034475323882955745,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
2023-05-01,Monthly,-0.04319306036328,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,Time series line
