date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,industry_code,viz_type_text
2025-05-01,Monthly,-0.01635809992531201,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2025-04-01,Monthly,-0.01711778878985848,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2025-03-01,Monthly,-0.022727172256844324,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2025-02-01,Monthly,-0.027897867249732866,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2025-01-01,Monthly,-0.016768380443032676,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-12-01,Monthly,-0.009703085014571178,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-11-01,Monthly,-0.003524204970918839,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-10-01,Monthly,-0.01213385950518564,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-09-01,Monthly,-0.02126651037719085,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-08-01,Monthly,-0.030560264043751045,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-07-01,Monthly,-0.04328091109119092,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-06-01,Monthly,-0.05269792657769642,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-05-01,Monthly,-0.05285425768874874,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-04-01,Monthly,-0.0565996161663919,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-03-01,Monthly,-0.07447906055885926,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-02-01,Monthly,-0.08102059909450506,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2024-01-01,Monthly,-0.07409942934228697,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2023-12-01,Monthly,-0.06692122327904071,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2023-11-01,Monthly,-0.0736015965211011,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2023-10-01,Monthly,-0.08087644735419268,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2023-09-01,Monthly,-0.07591342788537277,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2023-08-01,Monthly,-0.07184389161132972,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2023-07-01,Monthly,-0.06526024426666861,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2023-06-01,Monthly,-0.0725929497662237,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
2023-05-01,Monthly,-0.0840832712308724,Building Mat. and Garden Equip. and Supplies Dealers,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,444,Time series line
