date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,industry_code,viz_type_text
2025-05-01,Monthly,0.025686182680790814,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2025-04-01,Monthly,0.019466321895935224,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2025-03-01,Monthly,0.01506508772824744,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2025-02-01,Monthly,-6.174080728479728e-4,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2025-01-01,Monthly,0.001890925680787377,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-12-01,Monthly,0.0038217630444158748,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-11-01,Monthly,0.003875970364072353,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-10-01,Monthly,-0.004052445274912331,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-09-01,Monthly,-0.008179255928112713,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-08-01,Monthly,-0.004975202864472579,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-07-01,Monthly,0.004669569351924641,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-06-01,Monthly,0.001686814676790697,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-05-01,Monthly,-0.014627713517777289,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-04-01,Monthly,-0.021055394379383603,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-03-01,Monthly,-0.029082366353961813,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-02-01,Monthly,-0.011323878115231575,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2024-01-01,Monthly,-0.01299567237448814,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2023-12-01,Monthly,-0.012370339726173962,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2023-11-01,Monthly,-0.02706465467430652,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2023-10-01,Monthly,-0.025229870584699648,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2023-09-01,Monthly,-0.017161083516440707,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2023-08-01,Monthly,-0.02027948777492472,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2023-07-01,Monthly,-0.03260330214975401,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2023-06-01,Monthly,-0.05481093281582931,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
2023-05-01,Monthly,-0.06520613631521681,Clothing and Clothing Access. Stores,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,448,Time series line
