date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,seas_adj_text,industry_code,viz_type_text
2025-05-01,Monthly,0.01780820363075364,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2025-04-01,Monthly,0.019552442054068326,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2025-03-01,Monthly,0.01696132276923934,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2025-02-01,Monthly,0.014905995923099416,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2025-01-01,Monthly,0.015094349179375651,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-12-01,Monthly,0.010898175383383446,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-11-01,Monthly,0.002240296972462086,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-10-01,Monthly,-0.005251208490248664,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-09-01,Monthly,-0.0064727326255426725,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-08-01,Monthly,-0.008317765367887456,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-07-01,Monthly,-0.007562560178469679,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-06-01,Monthly,-0.011588721480280673,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-05-01,Monthly,-0.008748646280597091,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-04-01,Monthly,-0.012274261996858105,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-03-01,Monthly,-0.01967285661422639,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-02-01,Monthly,-0.014515085449223789,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2024-01-01,Monthly,-0.0086620712791499,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2023-12-01,Monthly,-0.001645957646954373,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2023-11-01,Monthly,-0.006231999879050321,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2023-10-01,Monthly,-0.00994758865110068,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2023-09-01,Monthly,-0.010287945776941773,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2023-08-01,Monthly,-0.017408087857681703,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2023-07-01,Monthly,-0.022845499941990626,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2023-06-01,Monthly,-0.0319344840238052,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
2023-05-01,Monthly,-0.037032386931528105,Retail Trade,Level,Year-over-year,Percent change;Trail 3,Nation,US,Seasonally adjusted,44000,Time series line
